Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
37.900000,0.00000,KWX355,La Vergne,Rescue Squad CartoCar,LVRS Car-Car,,FM,BM,EMS-Tac
118.400000,0.00000,,Smyrna Airport KMQY Aircraft VHF AM,Nashville Approach  Departure,MQY Ap/Dep,,AM,BM,Aircraft
118.500000,0.00000,,Smyrna Airport KMQY Aircraft VHF AM,Tower  CTAF,MQY Tower,,AM,BM,Aircraft
119.125000,0.00000,,Smyrna Airport KMQY Aircraft VHF AM,ASOS,MQY ASOS,,AM,B,Aircraft
121.400000,0.00000,,Smyrna Airport KMQY Aircraft VHF AM,Smyrna Ground Control and Clearance Delivery,MQY Gnd Ctrl,,AM,BM,Aircraft
121.700000,0.00000,,Smyrna Airport KMQY Aircraft VHF AM,Clearance Delivery,MQY Clnc Del,,AM,BM,Aircraft
122.950000,0.00000,WFL2,Smyrna Airport KMQY Aircraft VHF AM,Unicom,MQY Unicom,,AM,BM,Aircraft
123.075000,0.00000,,Murfreesboro Municipal Airport KMBT Aircraft VHF AM,Unicom  CTAF,MBT Unicom,,AM,BM,Aircraft
128.450000,0.00000,,Murfreesboro Municipal Airport KMBT Aircraft VHF AM,Nashville Approach  Departure,MBT Ap/Dep,,AM,BM,Aircraft
133.975000,0.00000,,Murfreesboro Municipal Airport KMBT Aircraft VHF AM,AWOS,MBT AWOS,,AM,B,Aircraft
135.075000,0.00000,,Murfreesboro Municipal Airport KMBT Aircraft VHF AM,GCO,MBT GCO,,AM,BM,Aircraft
145.230000,144.63000,W4CAT,Skywarn,Skywarn,SkywarnW4CAT,114.8 PL,FM,RM,Ham
151.040000,0.00000,,County Fire EMS EMA,MEDFIRE  Conference A,MED/FIRE  CONF A,136.5 PL,FMN,BM,Fire-Talk
151.490000,154.95000,WQQP235,County Fire EMS EMA,MEDFIRE Dispatch P25 Simulcast on Analog,MED/FIRE MAIN D,293 NAC,P25,RM,Fire Dispatch
151.745000,0.00000,,County Fire EMS EMA,Rescue Squad  Talkaround,RESCUE TALK,,FMN,M,EMS-Talk
152.397500,0.00000,WQIJ645,Businesses Retail,Stones River Mall,StonesRvMall,306 DPL,FMN,RM,Business
154.100000,158.97000,WQCK438,Smyrna Airport KMQY Airport Operations,Airport Authority,SRCAA,151.4 PL,FM,RM,Other
154.220000,0.00000,WPJR992,Murfreesboro,Fire MOSCAD Tone Out Data For Dispatch,MFD MOSCAD,,Telm,BM,Data
154.340000,0.00000,WPKL705,La Vergne,Fire Department  Backup,LVFD BU 2,192.8 PL,FMN,BM,Fire-Tac
154.490000,0.00000,WPNQ355,Murfreesboro,Water  Sewer,MW-S OP1,071 DPL,FMN,RM,Utilities
154.570000,0.00000,,Businesses Retail,Walmart Memorial Blvd,Walmart MB,131 DPL,FMN,M,Business
154.570000,0.00000,,Businesses Retail,WalMart S Rutherford,WalMart,,FMN,M,Business
154.600000,0.00000,,Businesses Retail,Walmart Old Fort Pkwy,Walmart OF,77.0 PL,FMN,M,Business
154.755000,156.01500,WQQP235,Interop,VTNMA Local Access,VTNMA LOCAL,051 DPL,FMN,RM,Interop
154.755000,156.01500,WQQP235,Interop,VTNMA Statewide Access,VTNMA STATE,100.0 PL,FMN,RM,Interop
154.980000,154.01000,KNDZ235,Murfreesboro,Fire Dispatch Main,MFD MAIN,123.0 PL,FMN,RM,Fire Dispatch
155.085000,158.89500,WQQP235,County Fire EMS EMA,MEDFIRE  Operations Bravo,MED/FIRE OPS B,146.2 PL,FMN,RM,Fire-Tac
155.160000,154.07000,WPKL705,La Vergne,Fire Department  Backup,LVFD BU 1,136.5 PL,FMN,RM,Fire Dispatch
155.235000,0.00000,KXX626,County Fire EMS EMA,MEDFIRE  Unit Repeaters,MED/FIRE XTNDRS,CSQ,FMN,BM,EMS-Tac
155.280000,0.00000,,County Fire EMS EMA,MEDFIRE  Operations Delta,MED/FIRE OPS D,CSQ,FMN,BM,Fire-Tac
155.550000,159.76500,WPFW511,County Fire EMS EMA,MEDFIRE  Operations Charlie,MED/FIRE OPS C,136.5 PL,FMN,RM,Fire-Tac
155.880000,0.00000,,County Fire EMS EMA,MEDFIRE  Events,MED/FIRE  EVENTS,054 DPL,FMN,BM,Fire-Tac
158.430000,0.00000,WNZL982,Businesses Industrial,Mahle Filter Systems  Mold Maintenance,MFS Ops MM,CC 8|TG 600|SL 1,DMR,RM,Business
158.430000,0.00000,WNZL982,Businesses Industrial,Mahle Filter Systems  ShippingReceiving,MFS Ops SR,CC 8|TG 602|SL 1,DMR,RM,Business
